closed_id,size,contains_x,contains_y,block_count,shadow_count,rank,num_minimum_generating_sets,first_minimum_generators,elements
17263,14,True,False,4,8,5,7,4 22 28 48 96,1 4 5 6 11 12 13 16 22 28 29 32 48 96
17264,14,True,False,4,8,5,3,8 22 28 48 96,2 6 7 8 12 13 14 16 22 28 29 32 48 96
17265,14,False,False,4,8,5,4,1 28 29 44 96,1 4 5 6 11 12 13 16 28 29 32 44 48 96
17266,14,False,False,4,8,5,2,2 28 29 44 96,2 6 7 8 12 13 14 16 28 29 32 44 48 96
17267,14,False,False,4,8,5,2,2 28 29 46 96,2 6 7 8 12 13 14 16 28 29 32 46 48 96
17268,14,False,False,4,8,5,4,1 28 44 46 96,1 3 5 7 10 12 14 16 28 32 44 46 48 96
17269,14,False,False,4,8,5,2,2 28 44 46 96,2 6 7 8 12 13 14 16 28 32 44 46 48 96
17270,14,False,False,4,8,5,2,2 29 44 46 96,2 6 7 8 12 13 14 16 29 32 44 46 48 96
17271,14,True,False,4,6,5,1,7 22 44 46 96,6 7 12 13 14 16 22 28 29 32 44 46 48 96
17272,14,False,True,4,8,5,7,3 32 39 44 96,1 3 5 7 10 12 14 16 32 39 44 46 48 96
17273,14,False,True,4,8,5,3,8 32 39 44 96,2 6 7 8 12 13 14 16 32 39 44 46 48 96
17274,14,False,True,4,6,5,1,6 28 29 39 96,6 7 12 13 14 16 28 29 32 39 44 46 48 96
17275,14,False,True,4,8,4,7,3 39 44 64,1 3 5 7 10 12 14 16 39 44 46 48 64 96
17276,14,False,True,4,8,4,3,8 39 44 64,2 6 7 8 12 13 14 16 39 44 46 48 64 96
17277,14,True,False,4,8,4,7,4 22 28 80,1 4 5 6 11 12 13 16 22 28 29 32 80 96
17278,14,True,False,4,8,4,3,8 22 28 80,2 6 7 8 12 13 14 16 22 28 29 32 80 96
17279,14,True,False,6,8,3,1,9 22 64,1 6 7 8 9 10 11 16 22 32 48 64 80 96
17280,14,True,False,6,8,3,2,4 22 64,1 4 5 6 11 12 13 16 22 32 48 64 80 96
17281,14,True,False,6,8,4,5,2 8 22 64,2 6 7 8 12 13 14 16 22 32 48 64 80 96
17282,14,True,False,6,8,3,2,3 22 64,1 2 3 6 11 14 15 16 22 32 48 64 80 96
17283,14,False,False,6,8,3,2,4 28 64,1 4 5 6 11 12 13 16 28 32 48 64 80 96
17284,14,False,False,6,8,3,2,3 28 64,1 3 5 7 10 12 14 16 28 32 48 64 80 96
17285,14,False,False,6,8,4,6,6 8 28 64,2 6 7 8 12 13 14 16 28 32 48 64 80 96
17286,14,False,False,6,8,3,2,9 28 64,1 2 5 8 9 12 15 16 28 32 48 64 80 96
17287,14,False,False,6,8,3,2,5 29 64,1 4 5 6 11 12 13 16 29 32 48 64 80 96
17288,14,False,False,6,8,3,2,3 29 64,1 3 4 8 9 13 14 16 29 32 48 64 80 96
17289,14,False,False,6,8,4,7,2 6 29 64,2 6 7 8 12 13 14 16 29 32 48 64 80 96
17290,14,False,False,6,8,3,2,10 29 64,1 2 4 7 10 13 15 16 29 32 48 64 80 96
17291,14,True,False,6,6,4,1,7 22 29 64,6 7 12 13 14 16 22 28 29 32 48 64 80 96
17292,14,False,True,6,8,3,1,9 39 80,1 6 7 8 9 10 11 16 32 39 48 64 80 96
17293,14,False,True,6,8,3,2,3 39 80,1 3 5 7 10 12 14 16 32 39 48 64 80 96
17294,14,False,True,6,8,4,5,2 8 39 80,2 6 7 8 12 13 14 16 32 39 48 64 80 96
17295,14,False,True,6,8,3,2,4 39 80,1 2 4 7 10 13 15 16 32 39 48 64 80 96
17296,14,False,False,6,8,3,2,4 44 80,1 4 5 6 11 12 13 16 32 44 48 64 80 96
17297,14,False,False,6,8,3,2,3 44 80,1 3 5 7 10 12 14 16 32 44 48 64 80 96
17298,14,False,False,6,8,4,6,6 8 44 80,2 6 7 8 12 13 14 16 32 44 48 64 80 96
17299,14,False,False,6,8,3,2,9 44 80,1 2 5 8 9 12 15 16 32 44 48 64 80 96
17300,14,True,False,6,6,6,2,1 2 7 22 44 64,1 2 6 7 12 16 22 28 32 44 48 64 80 96
17301,14,False,False,6,6,6,2,6 7 28 29 44 64,6 7 12 13 14 16 28 29 32 44 48 64 80 96
17302,14,True,False,6,5,4,2,14 22 44 64,6 12 13 14 16 22 28 29 32 44 48 64 80 96
17303,14,False,True,6,6,6,2,1 2 6 28 39 64,1 2 6 7 12 16 28 32 39 44 48 64 80 96
17304,14,True,True,6,5,5,4,1 22 28 39 64,1 6 7 12 16 22 28 32 39 44 48 64 80 96
17305,14,True,True,6,5,5,4,2 22 28 39 64,2 6 7 12 16 22 28 32 39 44 48 64 80 96
17306,14,False,False,6,8,3,2,5 46 80,1 3 5 7 10 12 14 16 32 46 48 64 80 96
17307,14,False,False,6,8,3,2,4 46 80,1 3 4 8 9 13 14 16 32 46 48 64 80 96
17308,14,False,False,6,8,4,7,2 7 46 80,2 6 7 8 12 13 14 16 32 46 48 64 80 96
17309,14,False,False,6,8,3,2,11 46 80,1 2 3 6 11 14 15 16 32 46 48 64 80 96
17310,14,False,False,6,6,6,2,6 7 28 29 46 64,6 7 12 13 14 16 28 29 32 46 48 64 80 96
17311,14,True,False,6,5,4,4,12 22 46 64,6 12 13 14 16 22 28 29 32 46 48 64 80 96
17312,14,False,False,6,6,6,2,6 7 28 44 46 64,6 7 12 13 14 16 28 32 44 46 48 64 80 96
17313,14,False,False,6,6,6,2,6 7 29 44 46 64,6 7 12 13 14 16 29 32 44 46 48 64 80 96
17314,14,False,False,6,5,6,2,6 28 29 44 46 64,6 12 13 14 16 28 29 32 44 46 48 64 80 96
17315,14,False,False,6,5,6,2,7 28 29 44 46 64,7 12 13 14 16 28 29 32 44 46 48 64 80 96
17316,14,False,True,6,6,4,1,6 39 46 80,6 7 12 13 14 16 32 39 44 46 48 64 80 96
17317,14,False,True,6,5,4,2,13 28 39 64,7 12 13 14 16 28 32 39 44 46 48 64 80 96
17318,14,False,True,6,5,4,4,12 29 39 64,7 12 13 14 16 29 32 39 44 46 48 64 80 96
17319,14,False,True,6,4,4,14,16 28 46 55,16 28 32 39 44 46 48 55 60 62 64 76 80 96
17320,14,True,True,6,4,4,28,16 22 28 55,16 22 28 32 39 44 48 55 60 64 70 76 80 96
17321,14,False,True,6,5,4,28,16 29 44 55,16 29 32 39 44 46 48 55 60 62 64 77 80 96
17322,14,False,False,6,4,5,30,16 28 29 46 60,16 28 29 32 44 46 48 60 62 64 76 77 80 96
17323,14,True,False,6,4,4,14,16 22 29 60,16 22 28 29 32 44 48 60 64 70 76 77 80 96
17324,14,True,False,6,5,4,28,16 22 28 62,16 22 28 29 32 46 48 62 64 70 76 77 80 96
17325,14,True,False,3,8,4,8,8 17 27 81,1 6 7 8 9 10 11 16 17 22 27 32 81 96
17326,14,True,False,3,8,4,16,4 17 27 81,1 4 5 6 11 12 13 16 17 22 27 32 81 96
17327,14,True,False,3,8,4,16,2 17 27 81,1 2 3 6 11 14 15 16 17 22 27 32 81 96
17328,14,True,True,4,8,5,4,8 17 22 39 96,1 6 7 8 9 10 11 16 17 22 33 39 81 96
17329,14,True,True,4,8,4,12,8 27 39 81,1 6 7 8 9 10 11 16 22 27 39 42 81 96
17330,14,False,False,4,8,5,32,6 8 32 33 81,1 6 7 8 9 10 11 16 17 32 33 48 81 96
17331,14,False,False,4,8,5,44,4 5 32 33 81,1 4 5 6 11 12 13 16 17 32 33 48 81 96
17332,14,False,False,4,8,5,44,3 5 32 33 81,1 3 5 7 10 12 14 16 17 32 33 48 81 96
17333,14,False,False,4,8,5,48,3 4 32 33 81,1 3 4 8 9 13 14 16 17 32 33 48 81 96
17334,14,False,False,4,8,5,44,2 5 32 33 81,1 2 5 8 9 12 15 16 17 32 33 48 81 96
17335,14,False,False,4,8,5,44,2 4 32 33 81,1 2 4 7 10 13 15 16 17 32 33 48 81 96
17336,14,False,False,4,8,5,44,2 3 32 33 81,1 2 3 6 11 14 15 16 17 32 33 48 81 96
17337,14,True,False,4,6,4,8,7 27 33 81,1 6 7 10 11 16 17 22 27 32 33 48 81 96
17338,14,True,True,4,8,5,4,8 22 32 39 81,1 6 7 8 9 10 11 16 22 32 39 48 81 96
17339,14,True,True,4,6,6,16,10 17 22 32 39 81,1 6 7 10 11 16 17 22 32 33 39 48 81 96
17340,14,True,True,4,6,7,8,2 12 17 22 32 39 81,1 2 6 7 12 16 17 22 32 33 39 48 81 96
17341,14,False,True,3,8,4,8,8 33 42 81,1 6 7 8 9 10 11 16 33 39 42 48 81 96
17342,14,False,True,3,8,4,16,3 33 42 81,1 3 5 7 10 12 14 16 33 39 42 48 81 96
17343,14,False,True,3,8,4,16,2 33 42 81,1 2 4 7 10 13 15 16 33 39 42 48 81 96
