set_name,beran_numbers,size
S_mid,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 27 42 55 70 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96,36
S_mid_with_projections,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 22 27 39 42 55 70 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96,38
