obstruction_id,source_closed_id,size,contains_x,contains_y,block_count,shadow_count,fibers,elements
M14,21740,48,True,True,6,16,ZERO: AND EQ IMP LDIFF NAND NOR NOT_X NOT_Y ONE OR RDIFF RIMP X XOR Y ZERO | X: AND LDIFF X ZERO | Y: AND RDIFF Y ZERO | NOT_Y: AND RDIFF Y ZERO | NOT_X: AND LDIFF X ZERO | ONE: AND EQ IMP LDIFF NAND NOR NOT_X NOT_Y ONE OR RDIFF RIMP X XOR Y ZERO,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 33 34 36 39 49 50 52 55 65 66 67 70 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
M15,21741,48,True,True,6,16,ZERO: AND EQ IMP LDIFF NAND NOR NOT_X NOT_Y ONE OR RDIFF RIMP X XOR Y ZERO | X: NOT_X ONE X ZERO | Y: NOT_Y ONE Y ZERO | NOT_Y: NOT_Y ONE Y ZERO | NOT_X: NOT_X ONE X ZERO | ONE: AND EQ IMP LDIFF NAND NOR NOT_X NOT_Y ONE OR RDIFF RIMP X XOR Y ZERO,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 22 27 32 33 39 42 48 49 55 58 64 65 70 75 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
M16,21742,48,True,True,6,16,ZERO: AND EQ IMP LDIFF NAND NOR NOT_X NOT_Y ONE OR RDIFF RIMP X XOR Y ZERO | X: ONE OR RIMP X | Y: IMP ONE OR Y | NOT_Y: IMP ONE OR Y | NOT_X: ONE OR RIMP X | ONE: AND EQ IMP LDIFF NAND NOR NOT_X NOT_Y ONE OR RDIFF RIMP X XOR Y ZERO,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 22 28 29 32 39 44 46 48 55 60 62 64 70 76 77 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
